oggetto,persona/luogo/animale,azione,difficile,miscellanea
macchina fotografica digitale,suora,sbadigliare,sogni d'oro,tulipano
rasoio,studente,beccare,spalle al muro,pugno
tacchi a spillo,panettiere,dribblare,puzza sotto il naso,branchie
tostapane,città fantasma,accorciare,casa delle vacanze,uragano
tetto,renna,mordere,serie a,polvere
lavatrice,wimbledon,crescere,girare il coltello nella piaga,superman
gelatina,ufficio,urlare,pelle d'oca,spalle
anello di diamanti,venezia,bere,manu bucate,pascolo
bustina di tè,giappone,scaldare,pane per i denti,giuria
telescopio,castello,bussare,qualcosa bolle in pentola,colazione
petalo,verme,sbattere,dietro le sbarre,branco
piumone,polipo,mescolare,a occhio e croce,crepa
tubo,ippopotamo,pregare,piedi in testa,ananas
zucchina,pinguino,sterzare,amante dei dolci,puntura
occhio nero,parroco,irrigare,furbo come una volpe,graffiti
conchiglia,foresta amazzonica,espirare,pelo sullo stomaco,falò
lampadina,torre di pisa,ballare,sparo di inizio,vacanza
racchetta da tennis,michael jackson,suonare il clacson,bici da corsa,cubo
giacca a vento,saturno,sorridere,castelli in aria,torsolo
zampa di coniglio,dentista,strimpellare,perdere un'occasione,souvenir
bottiglia,porto,mozzare,comandare a bacchetta,concerto
bussola,egitto,rilassarsi,puzza di bruciato,varicella
manette,fruttivendolo,fare il bagno,gettare acqua sul fuoco,anello
paracadute,ruota panoramica,navigare,intossicazione alimentare,manifestazione
vassoio,meccanico,spennare,acqua alla gola,narice
cuscino,scimmia,sposare,parole al vento,scarpetta
ventilatore,sirena,incontrare,zoccolo duro,sconfitta
lente di ingrandimento,suocero,pesare,gambe in spalla,immersione
pinna,toro,applaudire,divieto di sosta,banda
manichino,canguro,ridere,saldi di fine stagione,lasagne
luci natalizie,sicilia,fare uno schizzo,sorriso a 32 denti,viaggio
spaventapasseri,stadio,stirare,nato con la camicia,omelette
baguette,scoiattolo,scarabocchiare,luce dei miei occhi,elicottero
cassetto,gran bretagna,baciare,febbre del sabato sera,gola
microscopio,colosseo,scontrarsi,scaldare la sedia,campo da football
scudo,coccodrillo,slegare,girarsi i pollici,posta
atomo,pavone,arrampicarsi,gelatine di frutta,email
imbuto,elvis presley,grattare,allarme rosso,terremoto
stop,cavalluccio marino,sorprendere,partenza intelligente,maremoto
gommone,mercato del pesce,starnutire,abbassare la cresta,pensiero
portaombrelli,bassotto,piegare,fine primo tempo,afa
puzzle,giraffa,inchiodare,darsi la mano,ginocchio
piuma,pittore,trottare,ragazza della porta accanto,rosa
grattugia,pappagallo,camminare in punta di piedi,avere la luna storta,camper
cucchiaino,barbie,vibrare,telefono senza fili,zanna
fontana,astronauta,premere,luna di miele,arrivo
yo-yo,pettirosso,pedalare,notte in bianco,margherita
iceberg,gelateria,abbattersi,sale e pepe,zucca
kilt,cyrano,ringiovanire,il sole bacia i belli,collina
casco,boscaiolo,colare,tirata d'orecchi,condominio
furgone,capitano,rubare,kickboxing,favola
proiettore,elefante,crollare,ultimo giro,vento
grondaia,falegname,comprare,salice piangente,orbita
parasole,agente segreto,dimenticare,avere il cuore in gola,tiramisù
microfono,pesce volante,truccarsi,seconda mano,aerosol
collare,sydney,attaccare,superare il limite,pioggia
spada,aula di tribunale,scaricare,san valentino,riflesso
arpa,autostrada,condividere,palla al piede,crociera
setaccio,cabina di pilotaggio,cancellare,l'ora del tè,nuvola
armadio,porcospino,imparare,a briglia sciolta,mondiali
robot,dalmata,rovesciare,pancia piena,notizia
fulmine,ospedale,alzare,sordo come una campana,punta
scopa,pastore,rimboccare,vuotare il sacco,aereo
sega elettrica,teatro,studiare,esame di maturità,albero
calze,cesare,camminare,quattro gatti,influenza
sveglia,napoleone,esplodere,conto corrente,fognatura
grilletto,piramidi,leggere,linea di partenza,tram
rifugio,topolino,prudere,patata bollente,morso di serpente
onda,cina,cercare,a bocca asciutta,spiaggia
patatine,mare,piangere,cane lupo,internet
pallottolliere,coniglio,lanciare,ago nel pagliaio,musica
corona,regista,rotolare,seconda casa,corona
idromassaggio,violinista,completare,abbandonare la nave,orto
ago,berlino,sedersi,spina nel fianco,operazione
scultura,leopardo,moltiplicare,festa di compleanno,molare
sentiero,mamma,incollare,leccarsi i baffi,testa
molletta,aeroporto,inciampare,pilota automatico,tessuto
disco volante,sposa,annaffiare,isola felice,pozzanghera
scalpello,rapper,inchinarsi,chiudere il becco,puzza
castagna,grattacielo,inginocchiarsi,fumare la pipa,beach volley
carta moschicida,cortile,registrare,alla moda,ingranaggio
calamita,capanna,sprangare,sciroppo per la tosse,papavero
cestino dei rifiuti,sub,inzuppare,pantofolaio,sfera
penna,stretto di messina,proteggere,impasto per la pizza,bistecca
fiume,rapinatore,sventolare,senza gravità,pomodoro
sacco a pelo,cenerentola,attorcigliare,punto di vista,collant
maniglia,roma,affondare,coltello alla gola,serra
poltrona,chiesa,allacciare,una montagna di soldi,tetto
barella,squalo,strofinare,una goccia nel mare,compito
calendario,maggiordomo,fare la maglia,allacciarsi le scarpe,pino
armatura,james bond,rotolarsi,romanzo giallo,anguria
passaporto,cane guida,fare una pausa,orepiccole,piedi
pistola,io,svanire,soffiarsi il naso,formaggio
fosso,festival,nascondere,piovere a catinelle,mal di denti
piatto,sommozzatore,ruotare,rompere le uova nel paniere,notte
lucchetto,gattino,mischiare,statua della libertà,stivale
labirinto,capitan uncino,spalare,latte alle ginocchia,lotta
tenda,messaggero,gonfiare,strada a doppio senso,temperatura
chiavi dell'auto,tassista,gettare,botta e risposta,polso
salvadanaio,olanda,sbucciare,vendesi,video
cabina,negoziante,pagare,m'ama non m'ama,tesoro
cavo,zingaro,fotografare,calcio d'angolo,frankenstein
appendino,tunnel della manica,contare,piano terra,gobba
computer,giornalista,pulsare,piangere come una fontana,collo
nuvola,discoteca,uscire,nuotare a rana,orizzonte
mazza da golf,fotografo,mostrare,controcorrente,caduta
freezer,agnello,tremare,rigirare la frittata,elfo
ferro da stiro,polo sud,bruciare,né carne né pesce,filma
fioriera,capo nord,risparmiare,tirarsi su le maniche,dinamite
ancora,pesce palla,vedere,stringere i denti,semaforo
